PK,TimeStamp,Level,Parent,IsBusiness,Tag,Application,Message,Ticks,DataIn,DataInType,DataOut,DataOutType,TerminalID,TerminalIP,FKUser,ItemID,ItemType,FKExtern,
0,11-01-21 17:02:46,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:02:47,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:04:03,Log,0,True,"MEM","","53575264 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:04:04,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:04:05,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:04:30,Log,0,True,"MEM","","56093712 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:04:32,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:04:32,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:05:35,Log,0,True,"MEM","","58384072 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:05:36,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:05:37,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:16:44,Log,0,True,"MEM","","84475064 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:16:46,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:16:46,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:16:47,Log,0,True,"MEM","","84565680 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:16:48,Log,0,True,"MEM","","84154952 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:16:50,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:16:50,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:16:57,Log,0,True,"MEM","","87868560 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:16:59,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:17:00,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:17:15,Log,0,True,"MEM","","93623208 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:17:45,Log,0,True,"","","ctor ZPF.PhotosPage",0,"","","","","","","","","",-1,
0,11-01-21 17:17:45,Log,0,True,"","","ctor StoreCheck.Pages.InterventionPage",0,"","","","","","","","","",-1,
0,11-01-21 17:17:47,Log,0,True,"MEM","","93677984 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:17:48,Log,0,True,"MEM","","93266232 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:17:50,Log,0,True,"MENU Intervention","","shelf",0,"","","","","","","","","",-1,
0,11-01-21 17:17:50,Log,0,True,"","","ctor StoreCheck.Pages.ShelfInventoryPage",0,"","","","","","","","","",-1,
0,11-01-21 17:19:28,Log,0,True,"MEM","","100180040 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:19:31,Log,0,True,"MENU Intervention","","SLIM",0,"","","","","","","","","",-1,
0,11-01-21 17:19:31,Log,0,True,"","","ctor StoreCheck.Pages.SLIMPage",0,"","","","","","","","","",-1,
0,11-01-21 17:23:41,Log,0,True,"MEM","","102054616 bytes currently allocated in managed memory",0,"","","","","","","","","",-1,
0,11-01-21 17:23:44,Log,0,True,"MENU Intervention","","validate",0,"","","","","","","","","",-1,
